traditional,jyutping,definition,sentence1,sentence1_source,sentence2,sentence2_source
油瓶,jau4 ping4,oil bottle,舊時茶樓食嘅燒賣，其實都都幾大隻，佢重有個花名叫做油瓶枳。,Source,採用重力設計嘅油瓶，傾斜時自動打開，不會溢出，抬起時自動關閉。,Source
油瓶,jau4 peng2,step children,油瓶仔女係繼親嘅一種，書面語叫繼子女，係兩公婆嘅後代，但係冇血緣關係，亦唔係通過領養拎返嚟。,Wikipedia,又唔係油瓶仔怕咩?,LIHKG
𦧲,loe1,"dribble, spit",張糖紙唔食得㗎，快啲𦧲返出嚟啦！,Words.HK,食鱼要𦧲骨。,KaiFang
𦧲,loe2,to manipulate someone by behaving in a coquettish or childishly whining manner,细佬成日都𦧲我去同佢食雪糕。,Wikitionary,攞份表都要俾黑錢，死𦧲難𦧲先𦧲入個交易場。,HKCanCor
繑,kiu5,entwine,我個耳筒繑埋咗一嚿。,Words.HK,嘩，你寫嗰啲代碼，好似麵條噉繑埋一嚿嘅。,Wikipedia
繑,kiu5,cross one's arms or legs/ loop one's arm into the crook of someone's arm,最後大家一齊繑手跳舞，再為逝去嘅日子再飲多杯。,Wikipedia,佢畀嗮啲嘢你做，你忙到踢嗮腳嗰陣佢仲可以繑埋雙手䟴䟴腳等你幫佢做埋，唔通噉樣真係對佢好咩？,Wikitionary
禁,kam1 ,durable,呢种电池好禁。,Words.HK,對鞋好禁著。,Words.HK
禁,gam3 ,to prohibit; to forbid; to ban,呢个国家禁咗香口胶㗎。,Words.HK,乜而家中學已經冇左髮禁？,LIHKG
禁,kam1 ,to bear; to endure,我唔禁激㗎。,Words.HK,身子好嘅人禁冷又禁热。,KaiFang
禁,kam1 ,something that requires much time or money,十年咁耐，禁等咯。,KaiFang,贵利唔能够借㗎，利沓利，好禁还㗎。,KaiFang
禁,gam3,prison; jail; confinement,佢又畀屋企人禁足，冇得出街玩。,Words.HK,我寻晚犯咗门禁呀，阿爸今日唔比我出街，所以我今日嚟唔到啦，对唔住呀。,Words.HK
岌,ngap6,shaky,嗰张凳𢳆𢳆岌噉，边个敢坐？,KaiFang,風吹度門岌得好犀利。,Words.HK
岌,ngap6,nod,你问佢得唔得，佢实岌头嘅。,Words.HK,你一岌头，我就去马。,Words.HK
㗎啦,gaa3 laa3,modal particle used as a reminder or when giving advice,唔好嬲啦，嗰啲人系噉㗎啦。,KaiFang,最好系各自写平安纸，写清楚啲就得㗎啦。,KaiFang
㗎啦,gaa3 laa4,modal particle  express a slight surprise  something or with a questioning tone,你哋咁快就做完㗎啦？,KaiFang,咁早就瞓觉㗎啦？,KaiFang
㗎啦,gaa3 laa1,modal particle used  assert a fact  imply that there are no alternatives,我哋穷人都系天生天养㗎啦。,KaiFang,睇死你系噉㗎啦！,KaiFang
摵,cik1,to pick up; to lift up,绑到松佊佊噉，一摵唔系散啰。,KaiFang,你仲趴喺地下度，我就摵你起身。,KaiFang
摵,mit1,to pinch; to nip; to tweak,你唔好摵佢塊面啦！,Words.HK,好痛啊，你做乜摵我啊？,Words.HK
摵,mit1,to peel; to tear,佢好嬲噉摵爛封信。,Words.HK,好多人食包嗰陣都會先摵咗表面嗰層薄皮然後先再食入面啲叉燒。,Wikipedia
冧,lam1,coax / sweet talk,亞明冧女仔好叻㗎。,Words.HK,慢慢冧吓佢，就会应承。,KaiFang
冧,lam3,topple/ collapse/ kill someone,香港就嚟冧啦。,Words.HK,隔篱街冧楼呀！,Words.HK
冧,lam1,get drunk,佢真系好易醉，饮多两杯啤酒就冧咗喇。,Wikitionary,佢哋夾埋隊冧咗個同事。,Words.HK
冧,lam1,in love,佢收到男朋友送嘅花，成个样冧晒。,KaiFang,佢成日𥄫實你，仲唔係冧你？,Words.HK
炮,paau3,lie,细路仔唔准车大炮㗎。,KaiFang,噉嘅大炮你都信？,KaiFang
炮,paau3,"empty and big/boasting, exaggerating/archaic form of cannon",唔好咁大炮咯。,KaiFang,我讲嘅唔系大炮，真㗎。,KaiFang
落台,lok6 toi4,to step down (from office); to fall from a position of prestige,即係而家已經冇人有能力拉到佢落台?,LIHKG,肯落台唔係小事至少知道自己唔應該繼續害人。,LIHKG
落台,lok6 toi4,to leave the stage,未讲得几句就畀人闹咗落台。,Shyyp,嗰名藝人落台表演，親近觀眾。,Words.HK
落台,lok6 toi4,to get out of a predicament or an embarrassing situation,你當眾鬧佢，搞到佢好難落台。,Words.HK,一定都有啲雙方好落台嘅方法。,LIHKG
掹,mang1,pull,唔好掹住我个袋。,Words.HK,佢哋输咗粒波就开始矛嘞，掹衫踢人乜都出齐。,KaiFang
掹,mang1,pull out/pluck,你應該去睇牙醫，掹咗隻牙佢。,Tatoeba,连咁细条嘅亦都要掹埋。,KaiFang
𢺳,maan1,"hold , cling",𢺳住块大石爬上去。,KaiFang,你𢺳住个扶手就唔惊啦。,KaiFang
𢺳,maan1,win back,下半场一定要将啲分𢺳翻。,KaiFang,最后又𢺳翻几分？,KaiFang
𢺳,maan1,retract,依单嘢睇嚟都系冇得𢺳㗎嘞。,KaiFang,呢件事硬晒舦，冇法子𢺳啰。,KaiFang
新地,san1 dei6,a new found empty area,我個角色升級之後，開咗個新地圖出嚟。,Words.HK,雖然無新地，但將爛地變成人用得嘅地，都算係新填地嘅一種。,Wikipedia
新地,san1 dei2,sundae loanword,得杯新地，好似齋齋哋。,Words.HK,士多啤梨新地甜得嚟冇朱古力咁腻。,Words.HK
孭,me1,carry on the back or shoulders,我孭住個背囊好重呀，行快兩步啦！,Words.HK,咁大個人重要人孭呀?,HKCanCor
孭,me1,take on responsibility,呢个计划我孭嘅。,Words.HK,咁大隻鑊揾邊個孭啊？,Words.HK
啹,goe4,to accept; to not protest; to not feel offended; usually with reference to a decision or action made by an adversary,我對眼就係法庭，你哋而家啹唔啹先？,Words.HK,我家姐上年年尾俾人無理炒魷，覺得好唔啹。,Words.HK
啹,goe4,to accept somebody; to not treat somebody as an adversary,佢唔啹我好耐啦，今次公報私仇咋嘛！,Words.HK,佢哋兩個都唔啹對方，開親會都鬧交，點合作？,Words.HK
啹,goe4,feel better,頭先搬嘢又熱又攰，飲完杯嘢成個人啹晒！,Words.HK,爸爸锡咗佢两啖，佢个心都啹晒啦。,KaiFang
啹,goe4,burp,我個胃好脹，又啹唔到啲胃氣出嚟，谷住谷住好辛苦。,Words.HK,你啹氣嗰陣揞住個口啦，如果唔係好冇禮貌㗎。,Words.HK
𨂾,naam3,step across,𨂾过个水氹。,KaiFang,你喺醫院住咗咁耐，入屋企門口之前要𨂾過火盆先。,Words.HK
𨂾,naam3,alternate time,𨂾日见一次面。,KaiFang,我通常𨂾一個禮拜去健身房一次。,CantoDict
當我,dong1 ngo5,when i,嗰陣當我無搵佢幾日之後，我地再傾返計。,LIHKG,當我開始覺得係咪有返機會時，又話都係朋友。,LIHKG
當我,dong3 ngo5,treat me as,你當我傻架?,Tatoeba,佢喺街度見到我都當我冇到。,Tatoeba
當我,dong3 ngo5,pretend that (never said it),就當我哋之前冇講過啦。,Tatoeba,對唔住呀，我知我之前講過嘅嘢，就當我冇講過啦。,Tatoeba
㷫,hing3,angry/furious/ferocious,一讲到呢样佢就㷫嘞。,KaiFang,帮咗佢仲畀佢闹，系人都㷫啦！,KaiFang
㷫,hing3,excited/energized (while drunk),佢㷫起嚟一气唱咗十几只歌。,KaiFang,佢一㷫起嚟就几好嘅。,KaiFang
㷫,hing3,hot/scalding,你个额头好㷫，系唔系发烧呀？,KaiFang,如果你摸落去重係㷫嘅話呢，即係其實你係未好返𡃉啝。,HKCanCor
㷫,hing3,bake or dry by fire,俾啲牛油同埋哩個蠟燭㷫住嘅。,HKCanCor,隻手冰凍，響火爐㷫下。,JyutNet
嘥,saai1,debase,唔应该嘥人哋。,KaiFang,畀人当面嘥。,KaiFang
嘥,saai1,waste/wasteful,食埋個麪包，唔好嘥嘢呀。,Words.HK,嘥咗好多时间。,KaiFang
嘥,saai1,to miss; to lose (an opportunity),个名师讲座你冇去听真系嘥晒。,KaiFang,咁好嘅机会嘥咗。,KaiFang
揈,fang4,hit,一拳揈埋去。,Words.HK,你咁大力，畀你揈一拳得 嘅！,Shyyp
揈,fing6,swing,以后只手唔好周围揈啦。,KaiFang,佢揈吓条竹嗰啲水。,KaiFang
揈,fing6,throw,我自己都唔知揈咗條鎖匙去邊。,Words.HK,細個玩氹氹轉嗰陣，試過揈咗出嚟，跌親個下巴要連針。,Words.HK
咁,gam2,this; in this manner; in this way,你咁讲就唔公平喇。,Words.HK,所以我一直都冇咁做。,Words.HK
咁,gam2,seems (added after the predicate),好似会好多人咁。,Words.HK,佢就會剪到一層層咁樣。,HKCanCor
咁,gam2,aspect market for incompleteness,趁住有啲钱，快啲还咁啲利息。,Words.HK,而家已经走咁啲人喇。,Words.HK
咁,gam2,well;then,咁呀，聽日先算囉。,Words.HK,你一個人住喺香港呀？咁你有冇掛住屋企人啊？,Words.HK
咁,gam3,so;that,妳幾時變到咁成熟㗎？,Words.HK,咁耐冇見，應該好多嘢傾。,Words.HK
咁,gam3,"so, to such an extent",做咩你咁冇腦㗎？,Wikitionary,𠮶碌棍好似青瓜咁粗。,Words.HK
嚫,can1,aspect marker of every time/whenever,打嚫畀佢都唔接電話。,Wikitionary,阿明次次飲嚫酒都會出事。,Wikitionary
嚫,can1,aspect marker of injury,畀蚊咬嚫，痕到死。,KaiFang,我跌嚫，个膝头哥损咗。,KaiFang
撠,gik1,stuck,上便撠住，你褪落啲就过得嘞。,KaiFang,嗰条棍撠实喺里头，拎唔出。,KaiFang
撠,gik1,difficult; troublesome,呢个人都几恶撠㗎。,KaiFang,你份人真系好撠啊，一啲都唔识变通嘅。,Words.HK
撠,gik1,to stumble; to trip over,你伸隻腳出嚟想撠死人咩！,Wikitionary,佢撠咗吓，就躀低咗。,KaiFang
嗱,naa4,Used when calling someone's attention to something: there!; here!; look!,嗱，佢咪就係鍾意呢隻錶囉。,Wikitionary,嗱，大家不妨睇吓另一组数据。,KaiFang
嗱,naa4,Used when giving something to someone: here!,嗱，送畀你㗎！,Wikitionary,嗱，呢啲利是系舅公畀你责年嘅。,KaiFang
嗱,naa4,Used (accusingly) to remind someone of a warning: see!,嗱，都叫咗你唔好食得咁急㗎啦。,Wikitionary,好啦！嗱，一次咋㖞，冇下次㗎㖞。,KaiFang
睩,luk1,look/stare,你睩住我做乜嘢呀？,KaiFang,睩咗佢一眼。,KaiFang
睩,luk1,open wide,睩大只眼睇清楚，上面写明唔可以退款。,Words.HK,對你有好感會成日眼睩睩咁望住。,LIHKG
點,dim2,how; in what way; in what manner,個面試點啊？,Words.HK,呢件事应该点做，你谂真啲。,KaiFang
點,dim2,"whatever; however; used in conditionals to substitute a situation, a method, or some way of doing things",應該點做就點做，唔使問我㗎嘞。,Words.HK,佢想點都好，唔好麻煩到我就得。,Words.HK
