traditional,jyutping,definition,sentence1,sentence1_source,sentence2,sentence2_source
眼矇矇,ngaan5 mung4 mung4,bleary-eyed,睇清楚先啦眼矇矇咁。,LIHKG,瞓到眼矇矇嘅我原本諗住問佢而傢幾點，但係把口就問咗個唔同嘅問題。,LIHKG
眼矇矇,ngaan5 mung4 mung4,blurring of vision,有時望嘢左眼矇矇哋閤埋隻眼再打返開又好番。,LIHKG,覆診而傢話眼角膜好翻曬，但睇遠野眼矇矇，係咪永遠恢復唔到正常視力？,LIHKG
西北風,sai1 bak1 fung1,northwest wind,西北風係由西北吹來嘅風。,Wikipedia,西北風有呢個威力都好勁啦。,LIHKG
西北風,sai1 bak1 fung1,means 'air / nothing' when used in the expression ' eat northwest wind',阿鬆佢唔識煮飯又冇嗮杯麵，今晚實係食西北風啦。,Words.HK,等揭不開鍋，大人孩子喝西北風去！,ZDic
𧨾,tam3,to cheer up; to make someone happy,奀咕咕，姐姐你唔好嬲啦，𧨾返𧨾返！,Words.HK,佢今日好唔開心呀，我要諗辦法𧨾返佢至得。,Words.HK
𧨾,tam3,to cajole; to coax,條契弟話咁易又𧨾到個鬼妹上牀。,Words.HK,佢終於𧨾掂佢老細加佢人工。,Words.HK
油瓶,jau4 ping4,oil bottle,舊時茶樓食嘅燒賣，其實都都幾大隻，佢重有個花名叫做油瓶枳。,Source,採用重力設計嘅油瓶，傾斜時自動打開，不會溢齣，抬起時自動關閉。,Source
油瓶,jau4 peng2,step children,油瓶仔女係繼親嘅一種，書麵語叫繼子女，係兩公婆嘅後代，但係冇血緣關係，亦唔係通過領養拎返嚟。,Wikipedia,又唔係油瓶仔怕咩?,LIHKG
𦧲,loe1,"dribble, spit",張糖紙唔食得㗎，快啲𦧲返齣嚟啦！,Words.HK,食魚要𦧲骨。,KaiFang
𦧲,loe2,to manipulate someone by behaving in a coquettish or childishly whining manner,細佬成日都𦧲我去同佢食雪糕。,Wikitionary,攞份錶都要俾黑錢，死𦧲難𦧲先𦧲入個交易場。,HKCanCor
繑,kiu5,entwine,我個耳筒繑埋咗一嚿。,Words.HK,嘩，你寫嗰啲代碼，好似麵條噉繑埋一嚿嘅。,Wikipedia
繑,kiu5,cross one's arms or legs/ loop one's arm into the crook of someone's arm,最後大傢一齊繑手跳舞，再為逝去嘅日子再飲多杯。,Wikipedia,佢畀嗮啲嘢你做，你忙到踢嗮腳嗰陣佢仲可以繑埋雙手䟴䟴腳等你幫佢做埋，唔通噉樣真係對佢好咩？,Wikitionary
禁,kam1 ,durable,呢種電池好禁。,Words.HK,對鞋好禁著。,Words.HK
禁,gam3 ,to prohibit; to forbid; to ban,呢個國傢禁咗香口膠㗎。,Words.HK,乜而傢中學已經冇左髮禁？,LIHKG
禁,kam1 ,to bear; to endure,我唔禁激㗎。,Words.HK,身子好嘅人禁冷又禁熱。,KaiFang
禁,kam1 ,something that requires much time or money,十年咁耐，禁等咯。,KaiFang,貴利唔能夠藉㗎，利遝利，好禁還㗎。,KaiFang
禁,gam3,prison; jail; confinement,佢又畀屋企人禁足，冇得齣街玩。,Words.HK,我尋晚犯咗門禁呀，阿爸今日唔比我齣街，所以我今日嚟唔到啦，對唔住呀。,Words.HK
岌,ngap6,shaky,嗰張凳𢳆𢳆岌噉，邊個敢坐？,KaiFang,風吹度門岌得好犀利。,Words.HK
岌,ngap6,nod,你問佢得唔得，佢實岌頭嘅。,Words.HK,你一岌頭，我就去馬。,Words.HK
㗎啦,gaa3 laa3,modal particle used as a reminder or when giving advice,唔好嬲啦，嗰啲人係噉㗎啦。,KaiFang,最好係各自寫平安紙，寫清楚啲就得㗎啦。,KaiFang
㗎啦,gaa3 laa4,modal particle  express a slight surprise  something or with a questioning tone,你哋咁快就做完㗎啦？,KaiFang,咁早就瞓覺㗎啦？,KaiFang
㗎啦,gaa3 laa1,modal particle used  assert a fact  imply that there are no alternatives,我哋窮人都係天生天養㗎啦。,KaiFang,睇死你係噉㗎啦！,KaiFang
摵,cik1,to pick up; to lift up,綁到鬆佊佊噉，一摵唔係散囉。,KaiFang,你仲趴喺地下度，我就摵你起身。,KaiFang
摵,mit1,to pinch; to nip; to tweak,你唔好摵佢塊麵啦！,Words.HK,好痛啊，你做乜摵我啊？,Words.HK
摵,mit1,to peel; to tear,佢好嬲噉摵爛封信。,Words.HK,好多人食包嗰陣都會先摵咗錶麵嗰層薄皮然後先再食入麵啲叉燒。,Wikipedia
冧,lam1,coax / sweet talk,亞明冧女仔好叻㗎。,Words.HK,慢慢冧嚇佢，就會應承。,KaiFang
冧,lam3,topple/ collapse/ kill someone,香港就嚟冧啦。,Words.HK,隔籬街冧樓呀！,Words.HK
冧,lam1,get drunk,佢真係好易醉，飲多兩杯啤酒就冧咗喇。,Wikitionary,佢哋夾埋隊冧咗個同事。,Words.HK
冧,lam1,in love,佢收到男朋友送嘅花，成個樣冧曬。,KaiFang,佢成日𥄫實你，仲唔係冧你？,Words.HK
炮,paau3,lie,細路仔唔準車大炮㗎。,KaiFang,噉嘅大炮你都信？,KaiFang
炮,paau3,"empty and big/boasting, exaggerating/archaic form of cannon",唔好咁大炮咯。,KaiFang,我講嘅唔係大炮，真㗎。,KaiFang
落颱,lok6 toi4,to step down (from office); to fall from a position of prestige,即係而傢已經冇人有能力拉到佢落颱?,LIHKG,肯落颱唔係小事至少知道自己唔應該繼續害人。,LIHKG
落颱,lok6 toi4,to leave the stage,未講得幾句就畀人鬧咗落颱。,Shyyp,嗰名藝人落颱錶演，親近觀眾。,Words.HK
落颱,lok6 toi4,to get out of a predicament or an embarrassing situation,你當眾鬧佢，搞到佢好難落颱。,Words.HK,一定都有啲雙方好落颱嘅方法。,LIHKG
掹,mang1,pull,唔好掹住我個袋。,Words.HK,佢哋輸咗粒波就開始矛嘞，掹衫踢人乜都齣齊。,KaiFang
掹,mang1,pull out/pluck,你應該去睇牙醫，掹咗隻牙佢。,Tatoeba,連咁細條嘅亦都要掹埋。,KaiFang
𢺳,maan1,"hold , cling",𢺳住塊大石爬上去。,KaiFang,你𢺳住個扶手就唔驚啦。,KaiFang
𢺳,maan1,win back,下半場一定要將啲分𢺳翻。,KaiFang,最後又𢺳翻幾分？,KaiFang
𢺳,maan1,retract,依單嘢睇嚟都係冇得𢺳㗎嘞。,KaiFang,呢件事硬曬舦，冇法子𢺳囉。,KaiFang
新地,san1 dei6,a new found empty area,我個角色升級之後，開咗個新地圖齣嚟。,Words.HK,雖然無新地，但將爛地變成人用得嘅地，都算係新填地嘅一種。,Wikipedia
新地,san1 dei2,sundae loanword,得杯新地，好似齋齋哋。,Words.HK,士多啤梨新地甜得嚟冇硃古力咁膩。,Words.HK
孭,me1,carry on the back or shoulders,我孭住個背囊好重呀，行快兩步啦！,Words.HK,咁大個人重要人孭呀?,HKCanCor
孭,me1,take on responsibility,呢個計劃我孭嘅。,Words.HK,咁大隻鑊揾邊個孭啊？,Words.HK
啹,goe4,to accept; to not protest; to not feel offended; usually with reference to a decision or action made by an adversary,我對眼就係法庭，你哋而傢啹唔啹先？,Words.HK,我傢姐上年年尾俾人無理炒魷，覺得好唔啹。,Words.HK
啹,goe4,to accept somebody; to not treat somebody as an adversary,佢唔啹我好耐啦，今次公報私仇咋嘛！,Words.HK,佢哋兩個都唔啹對方，開親會都鬧交，點閤作？,Words.HK
啹,goe4,feel better,頭先搬嘢又熱又攰，飲完杯嘢成個人啹曬！,Words.HK,爸爸锡咗佢兩啖，佢個心都啹曬啦。,KaiFang
啹,goe4,burp,我個胃好脹，又啹唔到啲胃氣齣嚟，榖住榖住好辛苦。,Words.HK,你啹氣嗰陣揞住個口啦，如果唔係好冇禮貌㗎。,Words.HK
𨂾,naam3,step across,𨂾過個水氹。,KaiFang,你喺醫院住咗咁耐，入屋企門口之前要𨂾過火盆先。,Words.HK
𨂾,naam3,alternate time,𨂾日見一次麵。,KaiFang,我通常𨂾一個禮拜去健身房一次。,CantoDict
當我,dong1 ngo5,when i,嗰陣當我無搵佢幾日之後，我地再傾返計。,LIHKG,當我開始覺得係咪有返機會時，又話都係朋友。,LIHKG
當我,dong3 ngo5,treat me as,你當我傻架?,Tatoeba,佢喺街度見到我都當我冇到。,Tatoeba
當我,dong3 ngo5,pretend that (never said it),就當我哋之前冇講過啦。,Tatoeba,對唔住呀，我知我之前講過嘅嘢，就當我冇講過啦。,Tatoeba
㷫,hing3,angry/furious/ferocious,一講到呢樣佢就㷫嘞。,KaiFang,幫咗佢仲畀佢鬧，係人都㷫啦！,KaiFang
㷫,hing3,excited/energized (while drunk),佢㷫起嚟一氣唱咗十幾隻歌。,KaiFang,佢一㷫起嚟就幾好嘅。,KaiFang
㷫,hing3,hot/scalding,你個額頭好㷫，係唔係發燒呀？,KaiFang,如果你摸落去重係㷫嘅話呢，即係其實你係未好返𡃉啝。,HKCanCor
㷫,hing3,bake or dry by fire,俾啲牛油同埋哩個蠟燭㷫住嘅。,HKCanCor,隻手冰凍，響火爐㷫下。,JyutNet
嘥,saai1,debase,唔應該嘥人哋。,KaiFang,畀人當麵嘥。,KaiFang
嘥,saai1,waste/wasteful,食埋個麪包，唔好嘥嘢呀。,Words.HK,嘥咗好多時間。,KaiFang
嘥,saai1,to miss; to lose (an opportunity),個名師講座你冇去聽真係嘥曬。,KaiFang,咁好嘅機會嘥咗。,KaiFang
揈,fang4,hit,一拳揈埋去。,Words.HK,你咁大力，畀你揈一拳得 嘅！,Shyyp
揈,fing6,swing,以後隻手唔好周圍揈啦。,KaiFang,佢揈嚇條竹嗰啲水。,KaiFang
揈,fing6,throw,我自己都唔知揈咗條鎖匙去邊。,Words.HK,細個玩氹氹轉嗰陣，試過揈咗齣嚟，跌親個下巴要連針。,Words.HK
咁,gam2,this; in this manner; in this way,你咁講就唔公平喇。,Words.HK,所以我一直都冇咁做。,Words.HK
咁,gam2,seems (added after the predicate),好似會好多人咁。,Words.HK,佢就會剪到一層層咁樣。,HKCanCor
咁,gam2,aspect market for incompleteness,趁住有啲錢，快啲還咁啲利息。,Words.HK,而傢已經走咁啲人喇。,Words.HK
咁,gam2,well;then,咁呀，聽日先算囉。,Words.HK,你一個人住喺香港呀？咁你有冇掛住屋企人啊？,Words.HK
咁,gam3,so;that,妳幾時變到咁成熟㗎？,Words.HK,咁耐冇見，應該好多嘢傾。,Words.HK
咁,gam3,"so, to such an extent",做咩你咁冇腦㗎？,Wikitionary,𠮶碌棍好似青瓜咁粗。,Words.HK
嚫,can1,aspect marker of every time/whenever,打嚫畀佢都唔接電話。,Wikitionary,阿明次次飲嚫酒都會齣事。,Wikitionary
嚫,can1,aspect marker of injury,畀蚊咬嚫，痕到死。,KaiFang,我跌嚫，個膝頭哥損咗。,KaiFang
撠,gik1,stuck,上便撠住，你褪落啲就過得嘞。,KaiFang,嗰條棍撠實喺裏頭，拎唔齣。,KaiFang
撠,gik1,difficult; troublesome,呢個人都幾惡撠㗎。,KaiFang,你份人真係好撠啊，一啲都唔識變通嘅。,Words.HK
撠,gik1,to stumble; to trip over,你伸隻腳齣嚟想撠死人咩！,Wikitionary,佢撠咗嚇，就躀低咗。,KaiFang
嗱,naa4,Used when calling someone's attention to something: there!; here!; look!,嗱，佢咪就係鍾意呢隻錶囉。,Wikitionary,嗱，大傢不妨睇嚇另一組數據。,KaiFang
嗱,naa4,Used when giving something to someone: here!,嗱，送畀你㗎！,Wikitionary,嗱，呢啲利是係舅公畀你責年嘅。,KaiFang
嗱,naa4,Used (accusingly) to remind someone of a warning: see!,嗱，都叫咗你唔好食得咁急㗎啦。,Wikitionary,好啦！嗱，一次咋喎，冇下次㗎喎。,KaiFang
睩,luk1,look/stare,你睩住我做乜嘢呀？,KaiFang,睩咗佢一眼。,KaiFang
睩,luk1,open wide,睩大隻眼睇清楚，上麵寫明唔可以退款。,Words.HK,對你有好感會成日眼睩睩咁望住。,LIHKG
點,dim2,how; in what way; in what manner,個麵試點啊？,Words.HK,呢件事應該點做，你諗真啲。,KaiFang
點,dim2,"whatever; however; used in conditionals to substitute a situation, a method, or some way of doing things",應該點做就點做，唔使問我㗎嘞。,Words.HK,佢想點都好，唔好麻煩到我就得。,Words.HK
