traditional,simplified,pinyin,jyutping,definition
捵,捵,chen1,nin2,hold between the fingers and thumb
捵,捵,chen1,din2,roll/ roll about/ toss and turn
老翻,老翻,Lao3 fan1,lou5 faan1,pirated goods
老翻,老翻,lao3 fan1,lou5 faan1,"n. refers  illegal / pirated copies of something, such as cds or handbags"
老翻,老翻,lao3 fan1,lou5 faan1,adj.  describe something that is counterfeited
𢺳,𪮳,"",maan1,cock a gun
𢺳,𪮳,"",maan1,"hold , cling"
𢺳,𪮳,"",maan1,retrieve
𢺳,𪮳,"",maan1,press
𢺳,𪮳,"",maan1,turn
𢺳,𪮳,"",maan1,win back
𢺳,𪮳,"",maan1,hold onto for support
𢺳,𪮳,"",maan1,"push, pull, port the helm"
𢺳,𪮳,"",maan1,pull
肉刺,肉刺,rou4 ci4,juk6 ci3,hangnail
肉刺,肉刺,rou4 ci4,juk6 cek3,"heartache,  be averse  wasting or losing something, especially money or property"
四味,四味,si4 wei4,sei3 mei2,"four types of sexual services, foot licking"
四味,四味,si4 wei4,sei3 mei2,"fellatio, anilingus and sexual intercourse"
新地,新地,Xin1 di4,san1 dei6,a new found empty area
新地,新地,xin1 di4,san1 dei2,sundae loanword
孭,孭,mie1,me1,carry on the back or shoulders / back / take responsible for/ be in charge of/ take the blame for/ carry the can for a mistake
孭,孭,mie1,me1,take on responsibility
仱,仱,qian2,ging1,"same as the word矜, pity / restrained / self-important"
仱,仱,qian2,kim4,a type of ancient music of the northern chinese ethnic minorities
啹,啹,ju2,goe4,accept/ not object/ feel better/ burp
啹,啹,ju2,geoi1,"/stupid/idiotic/ kill/ slaughter/ roll or crumple into a ball/phonetic, such as in 'gurkha'"
𨂾,𨂾,"",naam3,step across
𨂾,𨂾,"",naam3,the distance of one stride
𨂾,𨂾,"",naam3,alternate day
當我,当我,dang1 wo3,dong1 ngo5,when i
當我,当我,dang1 wo3,dong3 ngo5,treat me as
媌,媌,miao2,maau4,"nice looking, soft and beautiful, in ancient chinese it was known as a prostitute"
媌,媌,miao2,maau4,fine/glorious/happy/prostitute
㷫,㷫,qing3,hing3,hot/scalding/feverish/angry/furious/ferocious
㷫,㷫,qing3,hing3,bake or dry by fire
嘥,嘥,sai1,saai1,waste /wasteful/ lose out on something/ debase
嘥,嘥,sai1,saai1,waste
嘥,嘥,sai1,saai1,1. fail  catch a change
一字咁淺,一字咁浅,yi1 zi4 gan1 qian3,jat1 zi6 gam2 cin2,"as simple as the word ""one"""
一字咁淺,一字咁钱,yi1zi4 gan1 qian2,jat1 zi6 gam3 cin2,as easy as abc and 123
揈,揈,hong1,fing6,wave about/ sway/ dance crazily/ behave in a wild manner/ spend money lavishly
揈,揈,"",fing6,splash
揈,揈,hong1,gwang1,drive away
揈,揈,"",fang4,hit
揈,揈,"",fang4,pound
揈,揈,hong1,fang4,beat someone with a fist or a stick
揈,揈,"",fing6,swing
橦,橦,tong2,cong4,mast
橦,橦,tong2,tung4,silk cotton tree
落面,落面,luo4 mian4,lok6 min2,lose face
落面,落面,luo4 mian4,lok6 min2,a situation where a person's dignity has been humiliated causing him/her  lose 'face' in front of others
𠼮,𠼮,"",ai1,"a lie, fib"
𠼮,𠼮,"",ngai1; ai1,beg
𠼮,𠼮,"",ngai1; ai1,importune
𠼮,𠼮,"",ngai1; ai1,urge
咁,咁,gan1,gam2,"so /mandarin equivalent: 这样zhèyàng 这样, like this"
咁,咁,gan1,gam3,too used before an
嚫,嚫,chen4,can1,aspect marker of injury/every time/whenever
嚫,嚫,chen4,can3,used in transliteration
撠,撠,ji3,gik1,"strike, stab, grasp"
撠,撠,ji3,gik1,stuck
還可以,还可以,hai2 ke3 yi3,waan4 ho2 ji5,it's borderline acceptable
還可以,还可以,hai2 ke3 yi3,waan4 ho2 ji5,so-so
還可以,还可以,hai2 ke3 yi3,waan4 ho2 ji5,that will do
還可以,还可以,hai2 ke3 yi3,waan4 ho2 ji5,it's just about okay
獦,獦,ge2,hot3,"an alternative form for 猲,dog with a short snout"
獦,獦,ge2,got3,a type of large wolf/a derogatory term for the name of a tribe in the past
嗱,嗱,na2,naa4,"exclamation, there! now!/an insulting remark whilst giving someone the finger"
嗱,嗱,na2,laa2,used in transliterations
嗱,嗱,na2,naa5,hold in hand
嗱,嗱,na2,naa2,pick up/ take
賞罰分明,赏罚分明,shang3 fa2 fen1 ming2,soeng2 fat6 fan1 ming4,fair treatment
賞罰分明,赏罚分明,shang3 fa2 fen1 ming2,soeng2 fat6 fan1 ming4,reward and punish fairly
行床,行床,xing2 chuang2,hang4 cong4,have sex
行床,行床,xing2 chuang2,hong4 cong4,lay out a temporary bed
見牙唔見眼,见牙唔见眼,jian4 ya2 n2 jian4 yan3,gin3 ngaa4 m4 gin3 ngaan5,literally 'can see the teeth but not the eyes'
見牙唔見眼,见牙唔见眼,jian4 ya2 n2 jian4 yan3,gin3 ngaa4 m4 gin3 ngaan5,have a big grin on one's face
睩,睩,lu4,luk1,rolling eyes
睩,睩,lu4,luk1,look/ glance/ roll the eyes/ stare
